Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
,,,,,,"Beer of barley",,"5700.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"37738.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"408677.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"29150.10",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"198000.00",,,,,,,
,,,,,,"Molasses",,"82000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"950.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"70685.00",,,,,,,
,,,,,,"Cotton lint",,"49652.00",,,,,,,
,,,,,,"Cottonseed",,"3000.00",,,,,,,
,,,,,,"Cotton lint",,"3000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"9300.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"11000.00",,,,,,,
,,,,,,"Molasses",,"3300.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"25500.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"51000.00",,,,,,,
,,,,,,"Beer of barley",,"1016000.00",,,,,,,
,,,,,,"Palm kernels",,"321000.00",,,,,,,
,,,,,,"Cotton lint",,"54430.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"95000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"219809.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"9260.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1398000.00",,,,,,,
,,,,,,"Molasses",,"679000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"2936360.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cotton lint",,"1468180.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"156.00",,,,,,,
,,,,,,"Beer of barley",,"101399.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"121312.00",,,,,,,
,,,,,,"Molasses",,"45371.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"0.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"39000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Molasses",,"16000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"55000.00",,,,,,,
,,,,,,"Beer of barley",,"51418.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Molasses",,"36900.00",,,,,,,
,,,,,,"Beer of barley",,"91798.00",,,,,,,
,,,,,,"Cotton lint",,"84175.00",,,,,,,
,,,,,,"Wine",,"6900.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"127207.00",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"17000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"113300.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"123000.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"2000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"260000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"538107.00",,,,,,,
,,,,,,"Beer of barley",,"855900.00",,,,,,,
,,,,,,"Wine",,"10000.00",,,,,,,
,,,,,,"Cotton lint",,"66800.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"1175000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1197482.00",,,,,,,
,,,,,,"Molasses",,"536000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"12000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Cottonseed",,"10450.00",,,,,,,
,,,,,,"Cotton lint",,"5225.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Beer of barley",,"1170000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1822900.00",,,,,,,
,,,,,,"Molasses",,"578000.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Wine",,"1085000.00",,,,,,,
,,,,,,"Beer of barley",,"497680.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2000.00",,,,,,,
,,,,,,"Molasses",,"1133.70",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"87469.00",,,,,,,
,,,,,,"Molasses",,"35428.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"350.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cotton lint",,"185.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"878900.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"525000.00",,,,,,,
,,,,,,"Molasses",,"210000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Cottonseed",,"2470.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"805500.00",,,,,,,
,,,,,,"Cotton lint",,"1330.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"1036400.00",,,,,,,
,,,,,,"Molasses",,"1643.84",,,,,,,
,,,,,,"Beer of barley",,"65000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3368.00",,,,,,,
,,,,,,"Wine",,"9.00",,,,,,,
,,,,,,"Beer of barley",,"7806.50",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"74183.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"225830.00",,,,,,,
,,,,,,"Cotton lint",,"13.00",,,,,,,
,,,,,,"Cottonseed",,"20.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"1400.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"25256.00",,,,,,,
,,,,,,"Molasses",,"9053.10",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"4803.50",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"1000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2000.00",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Cotton lint",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"6935.50",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"60.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Cotton lint",,"15300.00",,,,,,,
,,,,,,"Beer of barley",,"21000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"76300.00",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Palm kernels",,"5800.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Cottonseed",,"20000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"4650.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"6000.00",,,,,,,
,,,,,,"Beer of barley",,"4874.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"36900.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"48000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"2432.00",,,,,,,
,,,,,,"Molasses",,"12000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"42600.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"4200.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"1781.92",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"51293.00",,,,,,,
,,,,,,"Wine",,"754686.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"89396.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"780000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2235000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"2255398.78",,,,,,,
,,,,,,"Cottonseed",,"138200.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"389000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1092625.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"2478800.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"80295.00",,,,,,,
,,,,,,"Wine",,"3997600.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"34540.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"5.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"10.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"9000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"17116.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"360000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"163000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"516000.00",,,,,,,
,,,,,,"Molasses",,"190000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Palm kernels",,"960.00",,,,,,,
,,,,,,"Beer of barley",,"12400.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1199.00",,,,,,,
,,,,,,"Molasses",,"658.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"140600.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"486049.00",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"9900.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"4800.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"275000.00",,,,,,,
,,,,,,"Beer of barley",,"406442.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Molasses",,"59300.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"110023.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"30000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"122700.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"410370.00",,,,,,,
,,,,,,"Cotton lint",,"123000.00",,,,,,,
,,,,,,"Wine",,"322.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"217600.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Molasses",,"32190.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"55000.00",,,,,,,
,,,,,,"Beer of barley",,"9080.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"23411.12",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2637000.00",,,,,,,
,,,,,,"Molasses",,"1206000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"29077.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"46450.62",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"97293.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"31900.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"45000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Beer of barley",,"45170.00",,,,,,,
,,,,,,"Palm kernels",,"168.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"66717.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"85408.00",,,,,,,
,,,,,,"Beer of barley",,"37182.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Wine",,"39220.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"15175.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"26900.00",,,,,,,
,,,,,,"Beer of barley",,"38116.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"244062.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1463000.00",,,,,,,
,,,,,,"Molasses",,"525000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"858858.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"25300.00",,,,,,,
,,,,,,"Cotton lint",,"536786.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"5070000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"9565000.00",,,,,,,
,,,,,,"Molasses",,"4095000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"4950000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"1469000.00",,,,,,,
,,,,,,"Cotton lint",,"2460000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cotton lint",,"5800.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"5000.00",,,,,,,
,,,,,,"Molasses",,"1000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"12700.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Beer of barley",,"16881.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Wine",,"500.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"359500.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1335000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Beer of barley",,"6101000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"171000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"76300.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"58775.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"102972.00",,,,,,,
,,,,,,"Molasses",,"40250.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"5640.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Cottonseed",,"5233700.00",,,,,,,
,,,,,,"Beer of barley",,"23232000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"1904000.00",,,,,,,
,,,,,,"Cotton lint",,"3214000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"2162000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"6650500.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Cottonseed",,"75.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"73500.00",,,,,,,
,,,,,,"Cotton lint",,"40.00",,,,,,,
,,,,,,"Beer of barley",,"76000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"94876.00",,,,,,,
,,,,,,"Molasses",,"24382.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"979.72",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"424998.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"619267.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"1265101.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"19000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"31462.00",,,,,,,
,,,,,,"Wine",,"0.00",,,,,,,
,,,,,,"Beer of barley",,"84000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"323000.00",,,,,,,
,,,,,,"Molasses",,"75000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"2843.82",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"1421.91",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"12667.82",,,,,,,
,,,,,,"Cotton lint",,"6512.00",,,,,,,
,,,,,,"Cottonseed",,"12688.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"1205499.00",,,,,,,
,,,,,,"Cottonseed",,"280.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"140.00",,,,,,,
,,,,,,"Wine",,"641717.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"271959.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"954300.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"57300.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"129850.00",,,,,,,
,,,,,,"Molasses",,"45000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Cottonseed",,"12700.00",,,,,,,
